title,link,special_price,normal_price,User-Agent
Authentic Uwell Aeglos P1 Kit - Olive Green,https://www.cigabuy.com/authentic-uwell-aeglos-p1-kit-olive-green-p-21528.html,$28.39,$44.12 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
Authentic IJOY LUNA 2 Pod Kit - Jet Black,https://www.cigabuy.com/authentic-ijoy-luna-2-pod-kit-jet-black-p-22170.html,$10.22,$20.27 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
Authentic Geekvape M100 Aegis Mini 2 Mod - Grey,https://www.cigabuy.com/authentic-geekvape-m100-aegis-mini-2-mod-grey-p-21892.html,$37.48,$66.85 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
Authentic IJOY LUNA 2 Pod Kit - Aurora Green,https://www.cigabuy.com/authentic-ijoy-luna-2-pod-kit-aurora-green-p-22168.html,$10.22,$20.27 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
Authentic IJOY LUNA 2 Pod Kit - Hot Red,https://www.cigabuy.com/authentic-ijoy-luna-2-pod-kit-hot-red-p-22169.html,$10.22,$20.27 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
Authentic IJOY LUNA 2 Pod Kit - Pacific Blue,https://www.cigabuy.com/authentic-ijoy-luna-2-pod-kit-pacific-blue-p-22171.html,$10.22,$20.27 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
Authentic Geekvape Z50 Kit - Black,https://www.cigabuy.com/authentic-geekvape-z50-kit-black-p-21333.html,$40.89,$63.83 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
Authentic Vandyvape PR SE Kit - Diamond Black,https://www.cigabuy.com/authentic-vandyvape-se-kit-diamond-black-p-21779.html,$53.38,$75.39 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
Authentic Steam Crave Hadron Plus DNA250C 200W Advanced Kit - Silver,https://www.cigabuy.com/authentic-steam-crave-hadron-plus-dna250c-200w-advanced-kit-silver-p-22042.html,$170.37,$230.21 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
Authentic Geekvape M100 Aegis Mini 2 Kit with Z Nano 2 Tank - Navy Blue,https://www.cigabuy.com/authentic-geekvape-m100-aegis-mini-2-kit-with-z-nano-2-tank-navy-blue-p-21887.html,$49.97,$89.27 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
